term	valence
constraint	negative
consumptive	negative
contagious	negative
contaminate	negative
contamination	negative
contempt	negative
contemptible	negative
contemptuous	negative
contend	negative
contradict	negative
contradiction	negative
contradictory	negative
contrary	negative
controversial	negative
controversy	negative
convict	negative
cool	negative
coolness	negative
corrode	negative
corrosion	negative
corrosive	negative
corrupt	negative
corruption	negative
cost	negative
costliness	negative
costly	negative
counteract	negative
counteraction	negative
counterfeit	negative
covert	negative
covet	negative
coward	negative
crafty	negative
cram	negative
cramp	negative
cranky	negative
crass	negative
crave	negative
crawl	negative
craze	negative
craziness	negative
crazy	negative
credulous	negative
crime	negative
criminal	negative
cringe	negative
cripple	negative
crisis	negative
critic	negative
criticize	negative
croak	negative
crook	negative
crooked	negative
cross	negative
crude	negative
cruel	negative
cruelty	negative
crumble	negative
crumple	negative
crush	negative
crushing	negative
culpable	negative
culprit	negative
cumbersome	negative
curse	negative
cursory	negative
curt	negative
curtail	negative
cut	negative
cynical	negative
cynicism	negative
damage	negative
damn	negative
damnable	negative
damned	negative
danger	negative
dangerous	negative
dark	negative
darken	negative
darkness	negative
darn	negative
daunting	negative
dawdle	negative
daze	negative
dead	negative
deadlock	negative
deadly	negative
deadweight	negative
deaf	negative
deafness	negative
deal	negative
dearth	negative
death	negative
debatable	negative
debtor	negative
decadence	negative
decadent	negative
decay	negative
decease	negative
deceit	negative
deceitful	negative
deceive	negative
deception	negative
deceptive	negative
decline	negative
decompose	negative
decrease	negative
defame	negative
default	negative
defeat	negative
defect	negative
defective	negative
defendant	negative
defensive	negative
defiance	negative
defiant	negative
deficiency	negative
deficient	negative
deficit	negative
defile	negative
defy	negative
degenerate	negative
degrade	negative
dejected	negative
delay	negative
delinquency	negative
delinquent	negative
delirium	negative
deluge	negative
delusion	negative
demean	negative
demise	negative
demolish	negative
demon	negative
demoralize	negative
denial	negative
denounce	negative
dent	negative
deny	negative
dependent	negative
deplete	negative
deplorable	negative
deplore	negative
depose	negative
depraved	negative
depreciate	negative
depreciation	negative
depress	negative
depression	negative
deprive	negative
deride	negative
derision	negative
derisive	negative
derogatory	negative
desert	negative
desertion	negative
desire	negative
desolate	negative
desolation	negative
despair	negative
desperate	negative
desperation	negative
despicable	negative
despise	negative
destitute	negative
destroy	negative
destruction	negative
destructive	negative
detachment	negative
detain	negative
deter	negative
deterrent	negative
detest	negative
detestable	negative
detract	negative
detrimental	negative
devastate	negative
devastation	negative
deviate	negative
deviation	negative
devil	negative
devilish	negative
devious	negative
devoid	negative
diabolic	negative
diabolical	negative
dictate	negative
dictatorial	negative
differ	negative
difficult	negative
difficulty	negative
dilemma	negative
dim	negative
din	negative
dire	negative
dirt	negative
dirty	negative
disable	negative
disadvantage	negative
disadvantageous	negative
disagreeable	negative
disagreement	negative
disappoint	negative
disappointment	negative
disapproval	negative
disapprove	negative
disarm	negative
disaster	negative
disastrous	negative
disavow	negative
disavowal	negative
disbelief	negative
discharge	negative
disclaim	negative
discomfort	negative
disconcerted	negative
discontent	negative
discord	negative
discordant	negative
discourage	negative
discouragement	negative
discredit	negative
discrepant	negative
discriminate	negative
disdain	negative
disease	negative
diseased	negative
disgrace	negative
disguise	negative
disgust	negative
dishearten	negative
dishonest	negative
dishonor	negative
disingenuous	negative
disinterest	negative
dislike	negative
dismal	negative
dismiss	negative
disobedience	negative
disobedient	negative
disorder	negative
disorganized	negative
dispel	negative
dispensability	negative
dispense	negative
displace	negative
displease	negative
displeasure	negative
disposal	negative
dispose	negative
disproportionate	negative
disprove	negative
disputable	negative
dispute	negative
disregard	negative
disrupt	negative
disruption	negative
dissatisfaction	negative
dissatisfied	negative
dissatisfy	negative
dissent	negative
dissention	negative
dissolution	negative
distort	negative
distortion	negative
distract	negative
distracting	negative
distraction	negative
distress	negative
distrustful	negative
disturb	negative
disturbance	negative
diversion	negative
divert	negative
divide	negative
division	negative
divorce	negative
dizzy	negative
doldrums	negative
dominate	negative
domination	negative
doom	negative
doomsday	negative
dope	negative
double	negative
doubt	negative
doubtful	negative
downcast	negative
downfall	negative
downhearted	negative
drab	negative
drag	negative
dread	negative
dreadful	negative
dreary	negative
drive	negative
droop	negative
drop	negative
drought	negative
drown	negative
drowsiness	negative
drowsy	negative
drunk	negative
drunkard	negative
drunken	negative
dubious	negative
dull	negative
dumb	negative
dump	negative
dunce	negative
dungeon	negative
duty	negative
dwindle	negative
dying	negative
eccentric	negative
eccentricity	negative
edge	negative
egotistical	negative
eliminate	negative
elimination	negative
embarrass	negative
embarrassment	negative
emergency	negative
empty	negative
encroach	negative
encroachment	negative
endanger	negative
enemy	negative
enforce	negative
engulf	negative
enrage	negative
enslave	negative
entangle	negative
entanglement	negative
entreat	negative
envious	negative
envy	negative
epidemic	negative
epithet	negative
equivocal	negative
eradicate	negative
erase	negative
erode	negative
erosion	negative
err	negative
erroneous	negative
error	negative
esoteric	negative
estranged	negative
evade	negative
evasion	negative
even	negative
evict	negative
evil	negative
exaggeration	negative
exasperate	negative
exasperation	negative
exception	negative
excess	negative
excessive	negative
exclude	negative
exclusion	negative
excommunication	negative
execute	negative
exempt	negative
exhaust	negative
exhaustion	negative
exile	negative
exit	negative
expedient	negative
expel	negative
expense	negative
expensive	negative
explode	negative
exploit	negative
explosion	negative
explosive	negative
expose	negative
exterminate	negative
extermination	negative
extinct	negative
extinguish	negative
extravagant	negative
fabricate	negative
fabrication	negative
fail	negative
failure	negative
faint	negative
fake	negative
fall	negative
fallacy	negative
fallout	negative
bool	negative
falsehood	negative
falter	negative
famine	negative
famished	negative
fanatic	negative
fanatical	negative
farce	negative
fascist	negative
fat	negative
fatal	negative
fatalistic	negative
fatigue	negative
fault	negative
fear	negative
fearful	negative
fearsome	negative
fed	negative
feeble	negative
feign	negative
feint	negative
ferocious	negative
ferocity	negative
feud	negative
feudal	negative
fever	negative
feverish	negative
fiasco	negative
fickle	negative
fidget	negative
fiend	negative
fierce	negative
fight	negative
fighter	negative
filth	negative
filthy	negative
fine	negative
fire	negative
fist	negative
fix	negative
flagrant	negative
flaw	negative
fled	negative
flee	negative
fleeting	negative
flimsy	negative
floor	negative
flounder	negative
foe	negative
foible	negative
fool	negative
foolish	negative
foolishness	negative
forbid	negative
forbidden	negative
force	negative
foreboding	negative
foreign	negative
forfeit	negative
forgetfulness	negative
forlorn	negative
formidable	negative
forsake	negative
fought	negative
founder	negative
fracture	negative
fragile	negative
frantic	negative
frantically	negative
fraud	negative
fraudulent	negative
fraught	negative
freak	negative
fret	negative
fretful	negative
frighten	negative
frightful	negative
frigid	negative
frivolous	negative
front	negative
frown	negative
fruitless	negative
frustrate	negative
frustration	negative
fugitive	negative
fumble	negative
fun	negative
furious	negative
fury	negative
fuss	negative
fussy	negative
futility	negative
gall	negative
gamble	negative
gash	negative
gaudy	negative
germ	negative
get	negative
ghastly	negative
ghetto	negative
glare	negative
gloat	negative
gloom	negative
gloomy	negative
glum	negative
goddamn	negative
grab	negative
grapple	negative
gratuitous	negative
grave	negative
grief	negative
grievance	negative
grieve	negative
grim	negative
grizzly	negative
grotesque	negative
growl	negative
grudge	negative
gruff	negative
grumble	negative
guerrilla	negative
guilt	negative
guilty	negative
guise	negative
gullible	negative
gun	negative
gunmen	negative
hack	negative
hackney	negative
hag	negative
haggard	negative
hamper	negative
hand	negative
handicap	negative
hang	negative
haphazard	negative
hapless	negative
harass	negative
harassment	negative
hard	negative
hardship	negative
harm	negative
harmful	negative
harsh	negative
hassle	negative
hate	negative
hater	negative
hatred	negative
haughty	negative
haunt	negative
havoc	negative
hazard	negative
hazardous	negative
haziness	negative
hazy	negative
headache	negative
heartless	negative
hectic	negative
hedge	negative
hedonistic	negative
heedless	negative
heinous	negative
hell	negative
help	negative
helpless	negative
helplessness	negative
hideous	negative
hinder	negative
hindrance	negative
hit	negative
hoard	negative
hobble	negative
hole	negative
hollow	negative
homely	negative
hopeless	negative
horde	negative
horn	negative
horrible	negative
horrid	negative
horrify	negative
horror	negative
hostile	negative
hostility	negative
hot	negative
humiliate	negative
humiliation	negative
hung	negative
hunger	negative
hungry	negative
hunt	negative
hunter	negative
hurt	negative
hurtful	negative
hustle	negative
hustler	negative
hypocrisy	negative
hypocrite	negative
hysteria	negative
hysterical	negative
idiot	negative
idiotic	negative
idleness	negative
ignoble	negative
ignorance	negative
ignorant	negative
ill	negative
illegal	negative
illegality	negative
illiterate	negative
illness	negative
illogical	negative
immature	negative
immobility	negative
immoral	negative
immorality	negative
immovable	negative
impair	negative
impasse	negative
impatience	negative
impatient	negative
impede	negative
impediment	negative
imperfect	negative
impersonal	negative
impetuous	negative
implicate	negative
implore	negative
impose	negative
imprecision	negative
imprison	negative
imprisonment	negative
improper	negative
impulsive	negative
impure	negative
impurity	negative
inability	negative
inaccessible	negative
inaccuracy	negative
inadequate	negative
inane	negative
incapable	negative
incessant	negative
incompatibility	negative
incompatible	negative
incompetence	negative
incompetent	negative
inconsistency	negative
inconvenient	negative
incorrect	negative
incredible	negative
incurable	negative
indecent	negative
indefinite	negative
indeterminable	negative
indeterminate	negative
indictment	negative
indifference	negative
indifferent	negative
indignation	negative
indulge	negative
ineffective	negative
ineffectiveness	negative
ineffectual	negative
ineffectualness	negative
inefficiency	negative
inequality	negative
inexact	negative
inexplicable	negative
infamous	negative
infect	negative
infection	negative
inferior	negative
inferiority	negative
infest	negative
infiltration	negative
inflame	negative
inflation	negative
inflict	negative
infraction	negative
infringement	negative
infuriate	negative
ingratitude	negative
inhibit	negative
inhibition	negative
inhumane	negative
injunction	negative
injure	negative
injurious	negative
injury	negative
insane	negative
insecure	negative
insecurity	negative
insensible	negative
insidious	negative
insignificant	negative
insinuate	negative
insolence	negative
insolent	negative
instability	negative
instable	negative
insufficiency	negative
insufficient	negative
insult	negative
interfere	negative
interference	negative
interrupt	negative
interruption	negative
intervention	negative
intimidate	negative
intolerable	negative
intoxicate	negative
intrude	negative
intruder	negative
intrusion	negative
inundate	negative
inundated	negative
invade	negative
invalid	negative
invisible	negative
involuntary	negative
involve	negative
irk	negative
iron	negative
ironic	negative
irony	negative
irrational	negative
irregular	negative
irregularity	negative
irresponsible	negative
irritable	negative
irritation	negative
isolate	negative
jail	negative
jar	negative
jeer	negative
jeopardize	negative
jeopardy	negative
jerk	negative
jittery	negative
jobless	negative
jumpy	negative
junk	negative
kick	negative
kidnap	negative
kill	negative
killer	negative
knife	negative
knock	negative
lack	negative
lag	negative
laid	negative
lame	negative
lament	negative
lamentable	negative
languish	negative
lapse	negative
laugh	negative
lawless	negative
lay	negative
lazily	negative
lazy	negative
leak	negative
leakage	negative
let	negative
liability	negative
liable	negative
liar	negative
lie	negative
lifeless	negative
limit	negative
limitation	negative
limp	negative
liquidate	negative
liquidation	negative
litter	negative
load	negative
lone	negative
loneliness	negative
lonely	negative
loner	negative
lonesome	negative
loom	negative
lose	negative
loser	negative
loss	negative
lost	negative
loveless	negative
low	negative
lower	negative
lowly	negative
ludicrous	negative
lull	negative
lunatic	negative
lure	negative
lurk	negative
lying	negative
mad	negative
madman	negative
madness	negative
make	negative
maladjusted	negative
maladjustment	negative
malady	negative
malice	negative
malicious	negative
malignant	negative
mangle	negative
manipulate	negative
manipulation	negative
manslaughter	negative
mar	negative
marginal	negative
massacre	negative
matter	negative
meager	negative
mean	negative
meaningless	negative
meddle	negative
mediocre	negative
meek	negative
melancholy	negative
melodramatic	negative
menace	negative
menial	negative
merciless	negative
mess	negative
mind	negative
mine	negative
misbehave	negative
misbehavior	negative
mischief	negative
mischievous	negative
miser	negative
miserable	negative
misery	negative
misfortune	negative
mishandle	negative
mishap	negative
misinform	negative
misinformed	negative
mislead	negative
misrepresent	negative
miss	negative
mistake	negative
mistaken	negative
mistrust	negative
misunderstand	negative
misunderstanding	negative
misunderstood	negative
misuse	negative
mix	negative
moan	negative
mock	negative
mockery	negative
molest	negative
monotonous	negative
monotony	negative
monster	negative
monstrous	negative
moody	negative
mortify	negative
motionless	negative
motley	negative
mourn	negative
mourner	negative
muddle	negative
muddy	negative
mumble	negative
mundane	negative
murder	negative
murderous	negative
murky	negative
mutter	negative
myself>	negative
nag	negative
naive	negative
nasty	negative
naughty	negative
nebulous	negative
need	negative
needle	negative
needy	negative
negate	negative
negation	negative
negative	negative
neglect	negative
negligence	negative
negligent	negative
nervous	negative
nervousness	negative
neurotic	negative
neutralize	negative
nightmare	negative
nix	negative
noise	negative
nonchalant	negative
nonsense	negative
nosey	negative
notorious	negative
novice	negative
nuisance	negative
nullification	negative
nullify	negative
numb	negative
nuts	negative
object	negative
objection	negative
oblique	negative
obliterate	negative
obnoxious	negative
obscure	negative
obsolete	negative
obstacle	negative
obstinate	negative
obstruct	negative
obstruction	negative
odd	negative
oddity	negative
offend	negative
offender	negative
offensive	negative
ominous	negative
omission	negative
omit	negative
opinionated	negative
opponent	negative
oppose	negative
opposition	negative
oppress	negative
oppression	negative
oppressive	negative
ordeal	negative
order	negative
orphan	negative
ostracize	negative
oust	negative
outbreak	negative
outburst	negative
outcast	negative
outcry	negative
outlaw	negative
outrage	negative
outrageous	negative
outsider	negative
overbearing	negative
overflow	negative
overlook	negative
overpower	negative
overrun	negative
oversight	negative
overthrow	negative
overturn	negative
overwhelming	negative
overworked	negative
owe	negative
pain	negative
painful	negative
paltry	negative
pandemonium	negative
panic	negative
paralysis	negative
paralyzed	negative
paranoid	negative
parasite	negative
particular	negative
partition	negative
pass	negative
passe	negative
pathetic	negative
patronize	negative
peculiar	negative
peril	negative
perilous	negative
perish	negative
perplex	negative
perplexity	negative
persecute	negative
persecution	negative
perturb	negative
perverse	negative
pervert	negative
pessimism	negative
pessimistic	negative
pest	negative
petty	negative
phobia	negative
pick	negative
piece	negative
pinch	negative
pitiful	negative
pitiless	negative
plague	negative
plaintiff	negative
plight	negative
plod	negative
plot	negative
point	negative
pointless	negative
poison	negative
poisonous	negative
pollute	negative
pollution	negative
pompous	negative
poor	negative
pound	negative
pout	negative
poverty	negative
powerless	negative
precarious	negative
precipitate	negative
predicament	negative
prejudice	negative
prejudicial	negative
preposterous	negative
press	negative
presumptuous	negative
pretend	negative
pretense	negative
pretentious	negative
prison	negative
prisoner	negative
problem	negative
procrastinate	negative
procrastination	negative
prod	negative
prohibit	negative
prohibition	negative
prohibitive	negative
propaganda	negative
prosecution	negative
protest	negative
provocation	negative
provoke	negative
prowl	negative
pry	negative
punch	negative
punish	negative
puny	negative
push	negative
puzzlement	negative
qualm	negative
quandary	negative
quarrel	negative
quarrelsome	negative
queer	negative
questionable	negative
quibble	negative
quit	negative
quitter	negative
race	negative
radical	negative
rage	negative
raid	negative
raise	negative
ramble	negative
rampant	negative
rascal	negative
rash	negative
rat	negative
ration	negative
rattle	negative
ravage	negative
reactionary	negative
reactive	negative
rebel	negative
rebellion	negative
rebellious	negative
rebuff	negative
rebuke	negative
rebut	negative
recalcitrant	negative
recede	negative
recession	negative
reckless	negative
recklessness	negative
recoil	negative
redundancy	negative
redundant	negative
refrain	negative
refugee	negative
refusal	negative
refuse	negative
regardless	negative
regress	negative
regression	negative
regret	negative
regrettable	negative
reject	negative
rejection	negative
relapse	negative
reluctant	negative
remorse	negative
renounce	negative
renunciation	negative
repeal	negative
reprehensible	negative
repress	negative
reproach	negative
repudiate	negative
repugnant	negative
repulse	negative
repulsive	negative
resent	negative
resentful	negative
resentment	negative
resignation	negative
restless	negative
restlessness	negative
restrict	negative
restriction	negative
retaliate	negative
retard	negative
retire	negative
retreat	negative
revenge	negative
revert	negative
revoke	negative
revolt	negative
revolution	negative
rid	negative
ride	negative
ridicule	negative
ridiculous	negative
rigid	negative
rigor	negative
rigorous	negative
rip	negative
risky	negative
rival	negative
rivalry	negative
robber	negative
robbery	negative
rogue	negative
root	negative
rot	negative
rotten	negative
rough	negative
roughness	negative
roundabout	negative
rubbish	negative
rude	negative
rue	negative
ruffian	negative
ruin	negative
ruinous	negative
rumor	negative
rumple	negative
run	negative
runaway	negative
rupture	negative
rusty	negative
ruthless	negative
ruthlessness	negative
sabotage	negative
sad	negative
sadness	negative
sag	negative
sank	negative
sap	negative
sarcasm	negative
sarcastic	negative
savage	negative
scald	negative
scandal	negative
scandalous	negative
scapegoat	negative
scar	negative
scarcity	negative
scare	negative
scared	negative
scary	negative
scheme	negative
scoff	negative
scold	negative
scorch	negative
scorn	negative
scornful	negative
scoundrel	negative
scowl	negative
scrape	negative
scream	negative
screech	negative
screw	negative
scrutinize	negative
scuffle	negative
scum	negative
secede	negative
secession	negative
secrecy	negative
secret	negative
sedentary	negative
seethe	negative
segregation	negative
seize	negative
selfish	negative
selfishness	negative
senile	negative
senseless	negative
sentence	negative
sequester	negative
serve	negative
service	negative
servitude	negative
sever	negative
severe	negative
severity	negative
shabby	negative
shadow	negative
shady	negative
shaggy	negative
shake	negative
shallow	negative
shame	negative
shameful	negative
shameless	negative
shark	negative
shell	negative
shipwreck	negative
shirk	negative
shiver	negative
shock	negative
shoddy	negative
shoot	negative
short	negative
shortage	negative
shortcoming	negative
shortsighted	negative
shot	negative
shove	negative
show	negative
shred	negative
shrew	negative
shriek	negative
shrill	negative
shrivel	negative
shroud	negative
shrug	negative
shun	negative
shyness	negative
sick	negative
sickly	negative
sickness	negative
siege	negative
silly	negative
simplistic	negative
sin	negative
sinful	negative
sinister	negative
skeptical	negative
sketchy	negative
skirmish	negative
skulk	negative
slam	negative
slander	negative
slanderer	negative
slanderous	negative
slap	negative
slash	negative
slaughter	negative
slayer	negative
sleazy	negative
sleepless	negative
slight	negative
slime	negative
sloppy	negative
sloth	negative
slothful	negative
slug	negative
sluggish	negative
slump	negative
sly	negative
smack	negative
smash	negative
smear	negative
smother	negative
smuggle	negative
snare	negative
snarl	negative
snatch	negative
sneak	negative
sneer	negative
snore	negative
sob	negative
somber	negative
sore	negative
soreness	negative
sorrow	negative
sorrowful	negative
sorry	negative
sort	negative
sour	negative
spank	negative
spear	negative
spill	negative
spinster	negative
spite	negative
spiteful	negative
split	negative
spoil	negative
spot	negative
sprain	negative
sputter	negative
squander	negative
stab	negative
stagnant	negative
stain	negative
stale	negative
stalemate	negative
stammer	negative
stamp	negative
standstill	negative
stark	negative
startle	negative
starvation	negative
starve	negative
static	negative
steal	negative
stern	negative
stick	negative
stifle	negative
stigma	negative
sting	negative
stink	negative
stole	negative
stolen	negative
storm	negative
stormy	negative
straggle	negative
straggler	negative
strain	negative
strangle	negative
stray	negative
stress	negative
stricken	negative
strict	negative
strife	negative
strike	negative
stringent	negative
struck	negative
struggle	negative
stubborn	negative
stubbornly	negative
stubbornness	negative
study	negative
stuffy	negative
stunt	negative
stupid	negative
stupidity	negative
stupor	negative
subjection	negative
subjugate	negative
subjugation	negative
submissive	negative
subservience	negative
subside	negative
substitution	negative
subtract	negative
subversion	negative
subvert	negative
succumb	negative
sucker	negative
suffer	negative
sufferer	negative
suffocate	negative
sullen	negative
sunder	negative
superficial	negative
superficiality	negative
superfluous	negative
superstition	negative
superstitious	negative
suppress	negative
suppression	negative
susceptible	negative
suspect	negative
suspend	negative
suspension	negative
suspicion	negative
suspicious	negative
swear	negative
swore	negative
symptom	negative
taboo	negative
taint	negative
tamper	negative
tantrum	negative
tardy	negative
tariff	negative
tatter	negative
taunt	negative
tax	negative
tear	negative
tease	negative
tedious	negative
temper	negative
tempest	negative
temporarily	negative
temptation	negative
tense	negative
tension	negative
terrible	negative
terrify	negative
terror	negative
terrorism	negative
terrorize	negative
theft	negative
thief	negative
thirst	negative
thirsty	negative
thorny	negative
thoughtless	negative
thrash	negative
threat	negative
threaten	negative
throw	negative
thud	negative
thwart	negative
timidity	negative
tire	negative
tired	negative
tiresome	negative
toil	negative
tolerable	negative
too	negative
topple	negative
torment	negative
torrent	negative
torturous	negative
touchy	negative
tragedy	negative
tragic	negative
traitor	negative
tramp	negative
trample	negative
transgress	negative
trap	negative
trauma	negative
traumatic	negative
treacherous	negative
treachery	negative
treason	negative
treasonous	negative
trespass	negative
trick	negative
trivial	negative
trouble	negative
troublesome	negative
truant	negative
trudge	negative
try	negative
turbulent	negative
turmoil	negative
turn	negative
twitch	negative
tyranny	negative
ugly	negative
ultimatum	negative
unaccustomed	negative
unarm	negative
unattractive	negative
unauthentic	negative
unavoidable	negative
unbearable	negative
unbelievable	negative
uncivil	negative
unclean	negative
unclear	negative
uncomfortable	negative
uncouth	negative
undependability	negative
undependable	negative
undermine	negative
underworld	negative
undesirable	negative
undid	negative
undignified	negative
undo	negative
undone	negative
undue	negative
uneasiness	negative
uneasy	negative
uneconomical	negative
unemployed	negative
unequal	negative
uneven	negative
unexpectedly	negative
unfair	negative
unfaithful	negative
unfamiliar	negative
unfavorable	negative
unfeeling	negative
unfit	negative
unforeseen	negative
unfortunate	negative
unfriendly	negative
ungrateful	negative
unguarded	negative
unhappiness	negative
unhappy	negative
unhealthy	negative
unimportant	negative
uninformed	negative
unjust	negative
unjustified	negative
unkind	negative
unlawful	negative
unlucky	negative
unmoved	negative
unnatural	negative
unnecessary	negative
unnerve	negative
unnoticed	negative
unobserved	negative
unpleasant	negative
unpopular	negative
unprofitable	negative
unqualified	negative
unreasonable	negative
unreliability	negative
unreliable	negative
unrest	negative
unruly	negative
unsafe	negative
unsatisfactory	negative
unscrupulous	negative
unseen	negative
unsettling	negative
unsound	negative
unspeakable	negative
unstable	negative
unsteadiness	negative
unsteady	negative
unsuccessful	negative
untimely	negative
untrained	negative
untrue	negative
untrustworthy	negative
untruth	negative
unwilling	negative
unwillingness	negative
unwise	negative
unworthy	negative
upheaval	negative
uprising	negative
uproar	negative
uproot	negative
upset	negative
useless	negative
usurp	negative
utterance	negative
vagabond	negative
vagrant	negative
vague	negative
vagueness	negative
vain	negative
vanish	negative
vanity	negative
vehement	negative
vengeance	negative
venom	negative
venomous	negative
veto	negative
vex	negative
vexation	negative
vexing	negative
vice	negative
vicious	negative
vie	negative
vile	negative
villain	negative
violate	negative
violation	negative
violence	negative
violent	negative
viper	negative
void	negative
volatile	negative
volatility	negative
vomit	negative
vulgar	negative
wail	negative
wait	negative
wallow	negative
wane	negative
wanton	negative
war	negative
warfare	negative
warlike	negative
warp	negative
wary	negative
waste	negative
wasteful	negative
wastefulness	negative
wayward	negative
weaken	negative
wear	negative
weariness	negative
wearisome	negative
wee	negative
weed	negative
weep	negative
weird	negative
wench	negative
whack	negative
whimper	negative
whine	negative
whip	negative
wicked	negative
wickedness	negative
wild	negative
wilt	negative
wily	negative
wince	negative
witchcraft	negative
withheld	negative
withhold	negative
woe	negative
woeful	negative
worn	negative
worrier	negative
worry	negative
worse	negative
worsen	negative
worst	negative
worthless	negative
wound	negative
wrath	negative
wreck	negative
wrestle	negative
wretch	negative
wretchedness	negative
wrinkle	negative
writhe	negative
wrong	negative
wrongful	negative
wrought	negative
yawn	negative
yearn	negative
yelp	negative
